Unnamed: 0,Text,Tags
0,"What is DelPhi in sentence: Here we report a comprehensive suite for the well - known Poisson - Boltzmann solver , DelPhi , enriched with additional features to facilitate DelPhi usage .",0
1,"What is DelPhi in sentence: Here we report a comprehensive suite for the well - known Poisson - Boltzmann solver , DelPhi , enriched with additional features to facilitate DelPhi usage .",2
2,What is resource in sentence: The resource is available free of charge for academic users from URL : http://compbio.clemson.edu/DelPhi.php .,12
3,"What is DelPhi in sentence: In this work , we described the DelPhi package and associated resources .",0
4,"What is DelPhi in sentence: "" Project name : DelPhi Project home page : e.g. http://compbio.clemson.edu/delphi.php Operating system ( s ) : Linux , Mac , Windows Programming language : Fortran and C Other requirements : no License : free of charge license is required Any restrictions to use by non - academics : Commercial users should contact Accelrys Inc . """,1
5,"What is Linux in sentence: "" Project name : DelPhi Project home page : e.g. http://compbio.clemson.edu/delphi.php Operating system ( s ) : Linux , Mac , Windows Programming language : Fortran and C Other requirements : no License : free of charge license is required Any restrictions to use by non - academics : Commercial users should contact Accelrys Inc . """,5
6,"What is Mac in sentence: "" Project name : DelPhi Project home page : e.g. http://compbio.clemson.edu/delphi.php Operating system ( s ) : Linux , Mac , Windows Programming language : Fortran and C Other requirements : no License : free of charge license is required Any restrictions to use by non - academics : Commercial users should contact Accelrys Inc . """,5
7,"What is Windows in sentence: "" Project name : DelPhi Project home page : e.g. http://compbio.clemson.edu/delphi.php Operating system ( s ) : Linux , Mac , Windows Programming language : Fortran and C Other requirements : no License : free of charge license is required Any restrictions to use by non - academics : Commercial users should contact Accelrys Inc . """,5
8,"What is Fortran in sentence: "" Project name : DelPhi Project home page : e.g. http://compbio.clemson.edu/delphi.php Operating system ( s ) : Linux , Mac , Windows Programming language : Fortran and C Other requirements : no License : free of charge license is required Any restrictions to use by non - academics : Commercial users should contact Accelrys Inc . """,11
9,"What is C in sentence: "" Project name : DelPhi Project home page : e.g. http://compbio.clemson.edu/delphi.php Operating system ( s ) : Linux , Mac , Windows Programming language : Fortran and C Other requirements : no License : free of charge license is required Any restrictions to use by non - academics : Commercial users should contact Accelrys Inc . """,11
10,"What is ANDES in sentence: We have developed ANDES , a software library and a suite of applications , written in Perl and R , for the statistical ANalyses of DEep Sequencing .",0
11,"What is Perl in sentence: We have developed ANDES , a software library and a suite of applications , written in Perl and R , for the statistical ANalyses of DEep Sequencing .",11
12,"What is R in sentence: We have developed ANDES , a software library and a suite of applications , written in Perl and R , for the statistical ANalyses of DEep Sequencing .",11
13,What is ANDES in sentence: The applications we have implemented in ANDES allow an investigator to identify and compare the variations within a sample or among multiple samples .,0
14,"What is ANDES in sentence: To identify the nature of sequencing artifacts and how they may impact the analyses of a 16S metagenomic sample , ANDES was applied to compute empirically - determined quality values on a set of 454 Titanium sequencing runs .",3
15,"What is ANDES in sentence: "" Project name : ANDES Project home page : http://andestools.sourceforge.net/ Download web site : https://sourceforge.net/projects/andestools Operating system : Tested and in production on Linux . Programming language : Perl and R License : GNU GPL V 3 Any restrictions to use by non - academics : none """,1
16,"What is Linux in sentence: "" Project name : ANDES Project home page : http://andestools.sourceforge.net/ Download web site : https://sourceforge.net/projects/andestools Operating system : Tested and in production on Linux . Programming language : Perl and R License : GNU GPL V 3 Any restrictions to use by non - academics : none """,5
17,"What is Perl in sentence: "" Project name : ANDES Project home page : http://andestools.sourceforge.net/ Download web site : https://sourceforge.net/projects/andestools Operating system : Tested and in production on Linux . Programming language : Perl and R License : GNU GPL V 3 Any restrictions to use by non - academics : none """,11
18,"What is R in sentence: "" Project name : ANDES Project home page : http://andestools.sourceforge.net/ Download web site : https://sourceforge.net/projects/andestools Operating system : Tested and in production on Linux . Programming language : Perl and R License : GNU GPL V 3 Any restrictions to use by non - academics : none """,11
19,"What is MAFCO in sentence: In this paper , we present a lossless compression tool , MAFCO , specifically designed to compress MAF ( Multiple Alignment Format ) files .",0
